,Unnamed: 0,anime_id,title,type,source,episodes,airing,rating,score,rank,watched_by,members,favorites,producer,licensor,studio,genre,duration_min,aired_start,aired_end
2548,2548,2167,Clannad,TV,Visual novel,23,False,PG-13 - Teens 13 or older,8.21,298.0,31,739894,22941,"Pony Canyon, TBS, Movic, Animation Do",Sentai Filmworks,Kyoto Animation,"Slice of Life, Comedy, Romance, Supernatural, School, Drama",24,2007-10-05,2008-03-28
2549,2549,8457,Yozakura Quartet: Hoshi no Umi,OVA,Manga,3,False,PG-13 - Teens 13 or older,7.46,1793.0,2252,26993,20,"KMMJ Studios, Purple Cow Studio Japan",,Tatsunoko Production,"Action, Magic, Comedy, Super Power, Supernatural, Shounen",28,2010-10-08,2011-11-09
2550,2550,6211,Tokyo Magnitude 8.0,TV,Original,11,False,PG-13 - Teens 13 or older,8.16,364.0,493,162220,1331,"Dentsu, Fuji TV, Toho, Asmik Ace Entertainment, Sony Music Entertainment, Sakura Create",Maiden Japan,"Bones, Kinema Citrus",Drama,22,2009-07-10,2009-09-18
2551,2551,11005,Holy Knight,OVA,Manga,2,False,R+ - Mild Nudity,6.2,6752.0,2264,26828,41,Cammot,Media Blasters,Lilix,"Ecchi, Fantasy, Supernatural, School, Vampire, Seinen",30,2012-03-21,2012-05-25
2552,2552,30485,ChäoS;Child,TV,Visual novel,12,False,R - 17+ (violence & profanity),6.55,5398.0,1077,77294,160,"Kadokawa Shoten, AT-X, MAGES., Glovision, 5pb.",Funimation,Silver Link.,"Psychological, Harem, Supernatural, Mystery, Sci-Fi",23,2017-01-11,2017-03-29
2553,2553,7720,Ookiku Furikabutte: Natsu no Taikai-hen,TV,Manga,13,False,PG-13 - Teens 13 or older,8.14,385.0,2242,27223,150,"Aniplex, Mainichi Broadcasting System, TBS, Kodansha, Movic, Rakuonsha",Nozomi Entertainment,A-1 Pictures,"Comedy, Sports",24,2010-04-02,2010-06-25
2554,2554,4856,Fuuma no Kojirou: Fuuma Hanran-hen,OVA,Manga,1,False,PG-13 - Teens 13 or older,6.75,4525.0,8922,704,4,,,Animate Film,"Action, Martial Arts, Fantasy, Shounen",50,1991-11-21,1991-11-21
2555,2555,6280,Cat Shit One,ONA,Manga,1,False,R - 17+ (violence & profanity),7.14,3031.0,2526,22102,46,International Digital Artist,,Studio Anima,"Action, Fantasy, Military",22,2010-07-17,2010-07-17
2556,2556,846,School Rumble Ni Gakki,TV,Manga,26,False,PG-13 - Teens 13 or older,8.11,426.0,797,108718,672,"Sotsu, Marvelous, Studio Jack",Funimation,Studio Comet,"Comedy, Romance, School, Shounen",24,2006-04-03,2006-09-25
2557,2557,11837,Zetman,TV,Manga,13,False,R+ - Mild Nudity,6.99,3624.0,1000,84510,215,"TV Asahi, Asatsu DK, YTV, Toho, Sakura Create","Viz Media, NYAV Post",TMS Entertainment,"Action, Drama, Horror, Romance, Sci-Fi, Seinen, Supernatural",24,2012-04-03,2012-06-26
2558,2558,25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,Manga,2,False,R - 17+ (violence & profanity),8.42,156.0,504,159538,944,,,Wit Studio,"Action, Fantasy, Shoujo",27,2014-12-09,2015-04-09
